Year,SERIES,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,CUST_BREAKDOWN,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,ACTIVITY,PRODUCT,DATA_LAST_UPDATE,CUST_BREAKDOWN_LB,Value
2015,AG_LND_DGRD,,,,,,,,,,,2023-12-07,,9.6
2019,AG_LND_DGRD,,,,,,,,,,,2023-12-07,,9.22
2000,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.64
2010,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2015,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2016,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2017,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2018,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2019,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2020,AG_LND_FRSTMGT,,,,,,,,,,,2023-09-07,,4.57
2000,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.42
2010,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2015,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2016,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2017,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2018,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2019,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2020,AG_LND_FRSTPRCT,,,,,,,,,,,2023-09-07,,17.4
2000,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,33.7
2001,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,34.2
2002,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,34.2
2003,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,35.1
2004,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,35.6
2005,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,36.1
2006,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,37.2
2007,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,37.2
2008,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,37.7
2009,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,43.4
2010,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,38.9
2011,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,36.9
2012,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,44.0
2013,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,40.6
2014,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,32.3
2015,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,33.7
2016,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,42.5
2017,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,44.0
2018,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,45.4
2019,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,46.7
2020,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,52.7
2021,EG_ACS_ELEC,,,,,,,,,,,2023-03-03,,49.0
2000,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,7.3
2001,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,7.6
2002,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,7.2
2003,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,8.8
2004,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,9.8
2005,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,10.7
2006,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,9.4
2007,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,12.7
2008,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,13.8
2009,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,19.6
2010,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,15.8
2011,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,14.1
2012,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,23.8
2013,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,18.9
2014,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,7.7
2015,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,10.9
2016,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,21.9
2017,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,24.2
2018,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,26.4
2019,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,28.3
2020,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,37.1
2021,EG_ACS_ELEC,,,R,,,,,,,,2023-03-03,,31.6
2000,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.4
2001,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.3
2002,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.3
2003,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.2
2004,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.2
2005,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.1
2006,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,91.4
2007,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.2
2008,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.2
2009,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,90.9
2010,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.3
2011,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,83.2
2012,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.4
2013,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.5
2014,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,83.4
2015,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,81.2
2016,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.5
2017,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.5
2018,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.4
2019,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.4
2020,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.7
2021,EG_ACS_ELEC,,,U,,,,,,,,2023-03-03,,85.3
2000,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,34.0
2001,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,34.0
2002,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,33.0
2003,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,33.0
2004,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,32.0
2005,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,32.0
2006,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,32.0
2007,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,31.0
2008,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,31.0
2009,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,31.0
2010,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2011,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2012,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2013,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2014,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2015,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2016,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2017,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2018,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2019,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2020,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2021,EG_EGY_CLEAN,,,,,,,,,,,2023-03-18,,30.0
2000,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,5.0
2001,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,5.0
2002,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2003,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2004,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2005,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2006,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2007,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2008,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2009,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2010,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2011,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,
2012,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,5.0
2013,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,5.0
2014,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,6.0
2015,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,6.0
2016,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,6.0
2017,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,6.0
2018,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,6.0
2019,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,7.0
2020,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,7.0
2021,EG_EGY_CLEAN,,,R,,,,,,,,2023-03-18,,7.0
2000,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,88.0
2001,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,87.0
2002,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,87.0
2003,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,86.0
2004,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,85.0
2005,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,84.0
2006,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,84.0
2007,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,83.0
2008,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,83.0
2009,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,82.0
2010,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,82.0
2011,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,81.0
2012,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,81.0
2013,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,80.0
2014,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,80.0
2015,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,80.0
2016,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,79.0
2017,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,79.0
2018,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,79.0
2019,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,78.0
2020,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,78.0
2021,EG_EGY_CLEAN,,,U,,,,,,,,2023-03-18,,78.0
2017,EG_TBA_H2CO,,,,,,,,,,,2023-03-02,,
2020,EG_TBA_H2CO,,,,,,,,,,,2023-03-02,,69.9
2017,EG_TBA_H2COAQ,,,,,,,,,,,2023-03-02,,
2020,EG_TBA_H2COAQ,,,,,,,,,,,2023-03-02,,43.73
2017,EG_TBA_H2CORL,,,,,,,,,,,2023-03-02,,76.24
2020,EG_TBA_H2CORL,,,,,,,,,,,2023-03-02,,72.76
2017,EN_EWT_COLLR,,,,,,,,,,,2023-03-16,,0.75
2017,EN_H2O_RVAMBQ,,,,,,,,,,,2023-03-10,,76.47
2020,EN_H2O_RVAMBQ,,,,,,,,,,,2023-03-10,,83.33
2017,EN_H2O_WBAMBQ,,,,,,,,,,,2023-03-10,,76.47
2020,EN_H2O_WBAMBQ,,,,,,,,,,,2023-03-10,,83.33
2000,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,27.52175
2002,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,26.92639
2004,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,26.33104
2006,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,25.73569
2008,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,25.14033
2010,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,24.54498
2012,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,23.94962
2014,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,23.35427
2016,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,22.75892
2018,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,22.16356
2020,EN_LND_SLUM,,,U,,,,,,,,2022-06-17,,21.56821
2015,EN_WWT_TREATR,,,,,,,,,,,2021-03-24,,61.23265
2020,EN_WWT_WWDS,,,,,,,,,,,2023-03-21,,22.9922
2022,EN_WWT_WWDS,,,,,,,,,,,2023-03-21,,54.78279
2015,ER_MTN_DGRDP,,,,,,,,,,,2023-09-07,,2.05
2018,ER_MTN_DGRDP,,,,,,,,,,,2023-09-07,,2.12
2015,ER_MTN_DGRDP,,,,,,C03,,,,,2023-09-07,Montane,0.37
2018,ER_MTN_DGRDP,,,,,,C03,,,,,2023-09-07,Montane,0.41
2015,ER_MTN_DGRDP,,,,,,C04,,,,,2023-09-07,Remaining mountain area,2.06
2018,ER_MTN_DGRDP,,,,,,C04,,,,,2023-09-07,Remaining mountain area,2.13
2000,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,50.0
2001,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,50.0
2002,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2003,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2004,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2005,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2006,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2007,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2008,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2009,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2010,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2011,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2012,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2013,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2014,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2015,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2016,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2017,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2018,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2019,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2020,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2021,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2022,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2023,ER_RSK_LBREDS,,,,,,,,,,,2023-09-28,,
2011,FB_BNK_ACCSS,,Y_GE15,,,,,,,,,2022-09-27,,39.65121
2014,FB_BNK_ACCSS,,Y_GE15,,,,,,,,,2022-09-27,,32.38925
2017,FB_BNK_ACCSS,,Y_GE15,,,,,,,,,2022-09-27,,55.28514
2021,FB_BNK_ACCSS,,Y_GE15,,,,,,,,,2022-09-27,,59.74593
2014,FB_BNK_ACCSS,,Y_GE15,,,AGG_0_1,,,,,,2022-09-27,,20.86746
2017,FB_BNK_ACCSS,,Y_GE15,,,AGG_0_1,,,,,,2022-09-27,,37.92239
2021,FB_BNK_ACCSS,,Y_GE15,,,AGG_0_1,,,,,,2022-09-27,,47.46165
2011,FB_BNK_ACCSS,,Y_GE15,,,AGG_GE2,,,,,,2022-09-27,,39.65121
2014,FB_BNK_ACCSS,,Y_GE15,,,AGG_GE2,,,,,,2022-09-27,,39.82291
2017,FB_BNK_ACCSS,,Y_GE15,,,AGG_GE2,,,,,,2022-09-27,,65.16486
2021,FB_BNK_ACCSS,,Y_GE15,,,AGG_GE2,,,,,,2022-09-27,,67.6731
2011,FB_BNK_ACCSS,,Y_GE15,,B40,,,,,,,2022-09-27,,24.09259
2014,FB_BNK_ACCSS,,Y_GE15,,B40,,,,,,,2022-09-27,,16.30313
2017,FB_BNK_ACCSS,,Y_GE15,,B40,,,,,,,2022-09-27,,43.60118
2021,FB_BNK_ACCSS,,Y_GE15,,B40,,,,,,,2022-09-27,,46.92253
2011,FB_BNK_ACCSS,,Y_GE15,,R60,,,,,,,2022-09-27,,49.97297
2014,FB_BNK_ACCSS,,Y_GE15,,R60,,,,,,,2022-09-27,,43.08467
2017,FB_BNK_ACCSS,,Y_GE15,,R60,,,,,,,2022-09-27,,63.05718
2021,FB_BNK_ACCSS,,Y_GE15,,R60,,,,,,,2022-09-27,,68.27607
2021,FB_BNK_ACCSS,,Y_GE15,R,,,,,,,,2022-09-27,,53.57077
2021,FB_BNK_ACCSS,,Y_GE15,U,,,,,,,,2022-09-27,,73.61337
2011,FB_BNK_ACCSS,,Y_GE25,,,,,,,,,2022-09-27,,50.20871
2014,FB_BNK_ACCSS,,Y_GE25,,,,,,,,,2022-09-27,,36.94645
2017,FB_BNK_ACCSS,,Y_GE25,,,,,,,,,2022-09-27,,58.76923
2021,FB_BNK_ACCSS,,Y_GE25,,,,,,,,,2022-09-27,,64.68462
2011,FB_BNK_ACCSS,,Y15T24,,,,,,,,,2022-09-27,,22.35537
2014,FB_BNK_ACCSS,,Y15T24,,,,,,,,,2022-09-27,,23.96382
2017,FB_BNK_ACCSS,,Y15T24,,,,,,,,,2022-09-27,,48.35468
2021,FB_BNK_ACCSS,,Y15T24,,,,,,,,,2022-09-27,,49.57986
2011,FB_BNK_ACCSS,F,Y_GE15,,,,,,,,,2022-09-27,,37.12441
2014,FB_BNK_ACCSS,F,Y_GE15,,,,,,,,,2022-09-27,,28.97972
2017,FB_BNK_ACCSS,F,Y_GE15,,,,,,,,,2022-09-27,,51.66492
2021,FB_BNK_ACCSS,F,Y_GE15,,,,,,,,,2022-09-27,,53.97527
2011,FB_BNK_ACCSS,M,Y_GE15,,,,,,,,,2022-09-27,,42.54557
2014,FB_BNK_ACCSS,M,Y_GE15,,,,,,,,,2022-09-27,,35.9539
2017,FB_BNK_ACCSS,M,Y_GE15,,,,,,,,,2022-09-27,,59.2275
2021,FB_BNK_ACCSS,M,Y_GE15,,,,,,,,,2022-09-27,,65.86172
2011,FB_BNK_ACCSS_ILF,,Y_GE15,,,,,,,,,2022-09-27,,48.41713
2014,FB_BNK_ACCSS_ILF,,Y_GE15,,,,,,,,,2022-09-27,,37.38821
2017,FB_BNK_ACCSS_ILF,,Y_GE15,,,,,,,,,2022-09-27,,58.79443
2021,FB_BNK_ACCSS_ILF,,Y_GE15,,,,,,,,,2022-09-27,,66.38574
2011,FB_BNK_ACCSS_OLF,,Y_GE15,,,,,,,,,2022-09-27,,21.75096
2014,FB_BNK_ACCSS_OLF,,Y_GE15,,,,,,,,,2022-09-27,,25.77954
2017,FB_BNK_ACCSS_OLF,,Y_GE15,,,,,,,,,2022-09-27,,47.47882
2021,FB_BNK_ACCSS_OLF,,Y_GE15,,,,,,,,,2022-09-27,,48.43113
2011,FC_ACC_SSID,,,,,,,,,ISIC4_C,,2023-03-04,,7.43
2016,FC_ACC_SSID,,,,,,,,,ISIC4_C,,2023-03-04,,5.69
2009,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,95.9048319715285
2010,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,104.21075098589
2011,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,90.3280879963896
2012,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,85.5540410691907
2015,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,80.2059703324265
2016,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,60.0243734711119
2017,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,54.6042079506523
2018,GC_GOB_TAXD,,,,,,,,,,,2023-05-10,,61.450723805283
2011,IC_GEN_MGTL,F,,,,,,,,,,2023-03-20,,20.6
2014,IC_GEN_MGTL,F,,,,,,,,,,2023-03-20,,27.6
2019,IC_GEN_MGTL,F,,,,,,,,,,2023-03-20,,33.7
2019,IC_GEN_MGTL_19ICLS,F,,,,,,,,,,2023-03-17,,33.7
2011,IC_GEN_MGTN,F,,,,,,,,,,2023-03-17,,22.76
2019,IC_GEN_MGTN,F,,,,,,,,,,2023-03-17,,28.07
2019,IC_GEN_MGTN_19ICLS,F,,,,,,,,,,2023-03-17,,28.07
2005,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,70.0
2006,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,72.0
2007,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,75.0
2008,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,75.0
2009,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,41.0
2010,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,61.0
2011,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,72.4
2012,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,81.0
2013,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,84.0
2014,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,88.0
2015,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,88.7
2016,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,88.9
2017,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,90.09
2018,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,93.0
2019,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,93.4
2020,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,93.44
2021,IT_MOB_2GNTWK,,,,,,,,,,,2023-03-14,,93.54
2010,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,5.0
2011,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,15.0
2012,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,35.0
2013,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,52.0
2014,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,53.0
2015,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,55.1
2016,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,55.25
2017,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,78.2
2018,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,84.0
2019,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,84.2
2020,IT_MOB_3GNTWK,,,,,,,,,,,2023-03-14,,84.28
