Year,SERIES,SEX,AGE,COMPOSITE_BREAKDOWN,ACTIVITY,UNIT_MEASURE,DATA_LAST_UPDATE,Value
2016,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2017,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2018,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2019,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2020,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2021,EN_SCP_FRMN,,,,,NUMBER,2023-05-15,1.0
2016,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2017,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2018,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2019,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2020,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2021,EN_SCP_FRMN,,,,ISIC4_C,NUMBER,2023-05-15,1.0
2016,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2017,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2018,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2019,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2020,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2021,EN_SCP_FRMN,,,,ISIC4_G,NUMBER,2023-05-15,1.0
2000,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2001,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2002,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2003,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2004,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2005,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,2.0
2006,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2007,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2008,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2009,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2010,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2011,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2012,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2013,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2014,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2015,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2016,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2017,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2018,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2019,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2020,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2021,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2022,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2023,ER_GRF_ANIMKPT,,,,,NUMBER,2023-09-28,7.0
2000,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2001,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2002,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2003,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2004,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2005,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,6.0
2006,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2007,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2008,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2009,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2010,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2011,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2012,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2013,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2014,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2015,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2016,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2017,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2018,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2019,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2020,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2021,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2022,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2023,ER_GRF_ANIMKPT_TRB,,,,,NUMBER,2023-09-28,51.0
2000,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2001,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2002,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2003,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2004,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2005,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2006,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2007,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2008,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2009,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2010,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2011,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2012,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2013,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2014,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2015,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2016,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2017,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,
2018,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2019,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2020,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2021,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2022,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2023,ER_GRF_ANIMRCNTN_TRB,,,,,NUMBER,2023-09-28,1.0
2000,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2001,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2002,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2003,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2004,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2005,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,2.0
2006,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2007,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2008,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2009,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2010,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2011,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2012,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2013,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2014,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2015,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2016,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2017,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2018,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2019,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2020,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2021,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2022,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2023,ER_NOEX_LBREDN,,,,,NUMBER,2023-09-28,4.0
2000,ER_UNK_LBREDN,,,,,NUMBER,2023-09-28,0.0
